id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1422,South Bangkok (Blocks 1-3),Gas,Operational,1691.0,2009.0,Thailand,EGAT,,,,,Thailand,Nonthaburi,Bang Kruai,Chao Phraya-Ping,13.81253,100.5097,,,Wikipedia,https://www.egat.co.th/en/index.php?option=com_content&view=article&id=40&Itemid=117,,
1423,Southern Laos Solar Projects,Solar,Planned,300.0,2020.0,USA,Convalt Energy LLC,,,,,Laos,Vientiane [prefecture],Chanthabuly,Mekong Mainstream - Lower,18.01237,102.6268,"Actual location unknown, currently sited at locality in link/announcement",,Online,"http://www.convalt.com/solar-lao.html, this project marks the largest US investment in Laos to date",,
1424,Southern Palm Wastewater Treatment,Waste,Unknown,1.0,,Thailand,The Southern Palm (1978) Co. Ltd.,,,Japan,Marubeni Co.,Thailand,Surat Thani,Phunphin,Khong Phum Duang,9.113625,99.25532,,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1244506188.03/view,
1425,SP Infra 1 (Nhà máy điện mặt trời SP Infra 1),Solar,Under Construction,50.0,2020.0,Vietnam; India,CT TNHH Tài chính hạ tằng Shapoorji Pallonji,,,,,Vietnam,Ninh Thuận,Thuận Nam,Song Cai Phan Rang,11.45274,108.8899,"Actual location unknown, currently sited at locality in link/announcement",83000,Sponsor Website,,,
1426,SPCG Nakthon Ratchasima & Loei Solar Plants,Solar,Operational,18.0,,Thailand,"Steel Intertech Public Company Limited, Thai Fa Power Company",World Bank Group,IBRD; IFC,,,Thailand,Nakhon Pathom,Don Tum,Tha Chin,13.90865,100.0984,"Actual location unknown, currently sited at locality in link/announcement",,World Bank,http://ppi-re.worldbank.org/snapshots/country/thailand,,
1427,SPM Group Floating Solar,Solar,Operational,2.0,2021.0,France,Greenyellow,,,,,Thailand,Ratchaburi,Pak Tho,Coastal Rivers Khao Yoi,13.3883112220136,99.823447821902,,2800,PV Magazine,,https://www.pv-magazine.com/2021/02/15/thailands-first-floating-pv-project-goes-online/,03/26/2021
1428,SPS1999 - Pang Ku Solid Waste Processing Plant,Waste,Under Construction,9.5,2019.0,Thailand,Sermmsappaisal,,,China,China Western Power Industrial (EPC) (China),Thailand,Maha Sarakham,Wapi Pathum,Mun-Chi,15.96021,103.4545,"Actual location unknown, currently sited at locality in link/announcement",,Heritage Foundation,"July 2015; it's a contract; Sermmsappaisal; garbage to heat plant: http://en.xfafinance.com/html/Companies/2015/117369.shtml; https://www.scotts-international.com/sps1999-pang-ku-solid-waste-processing-plant-thailand-project-profile,t251953/4/30/302/3025",,
1429,Srepok 1 and Quang Minh Solar Complex (Khánh thành cụm Nhà máy điện mặt trời Srêpốk 1 và Quang Minh) 120 ha,Solar,Planned,100.0,2019.0,Vietnam,"Dai Hai Power Investment and Development Joint Stock Company - Công ty CP đầu tư và phát triển điện Đại Hải (Vietnam), Công ty CP điện mặt trời Srêpốk",,,,,Vietnam,Đắk Lắk,Buôn Đôn,Srepok,12.80773,107.8302,,150000,VN News,https://vietnamnews.vn/economy/506800/solar-power-complex-launched-in-dak-lak.html#MMPDH0m6Cdlhf5fX.97,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_Sr%C3%AAp%C3%B4k_1,
1430,Srepok 3,Hydro,Operational,220.0,2009.0,Vietnam,EVN,,,Vietnam,Construction Corporation No. 1 JSC,Vietnam,Đắk Lắk,Buôn Đôn,Srepok,12.75234,107.8768,,,Wikipedia,https://www.cc1jsc.com.vn/du-an/nha-may-thuy-dien-srepok-3-.html,,12/21/2020
1431,Srepok 4,Hydro,Operational,80.0,2010.0,Vietnam,Dai Hai Electricity Investment and Development JSC EVN,Vietnam,"Agribank Quang Tri, Agribank Dak Lak, Agribank Dac Nong, Agribank Thua Thien Hue, Hanoi Branch- Viet A JSC Bank, Viet Thai Joint Venture Bank, Rubber Company, Agribank Saigon",,,Vietnam,Đắk Lắk,Buôn Đôn,Srepok,12.80733,107.8553,,,Wikipedia,"https://data.opendevelopmentmekong.net/vi/library_record/srepok-4-Hydropower; http://www.diendaihai.com/news/detail/nha-may-thuy-dien-srepok-4-chinh-thuc-phat-dien,-hoa-luoi-dien-quoc-gia--42.html",,12/21/2020
