id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
28,Angkor Biomass,Biomass,Operational,2.0,2011,Cambodia,"Angkor Bio Cogen Co., Ltd.",Japan; Sweden,Mitsubishi UFJ Morgan Stanley Securities Co Ltd (Japan);  ADB as Trustee of the Future Carbon Fund; Swedish Energy Agency (Sweden),,,Cambodia,Kandal,Angk Snuol,Mekong Mainstrem - Lower Tonle Sap,11.5123,104.7165,,,World Resources Institute,datasets.wri.org/dataset/globalpowerplantdatabase; https://cdm.unfccc.int/Projects/DB/DNV-CUK1144657688.42/view,,
29,"Angvian Industry Co., Ltd",Biomass,Unknown,30.0,,Thailand,Wangkanai Group,,,,,Thailand,Nakhon Ratchasima,Kaeng Sanam Nang,Mun-Chi,15.73342,102.287,,,EGAT PDP,Bagasse,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf; http://www.wangkanai.co.th/en/business.html,
30,Anita Asia Rooftop Solar,Solar,Operational,0.0926,2017,Austria; Myanmar,Anita Asia,,,Laos,Sunlabob Renewable Energy Co. (Laos),Myanmar,Yangon,Yangon-N,Irrawaddy Mainstem and Delta,16.95431,96.18635,,,,"https://www.pv-magazine.com/2017/07/04/myanmar-sunlabob-renewable-energy-commissions-92-6-kwp-rooftop-solar/, https://www.sunlabob.com/news-2017/sunlabob-renewable-energy-partners-with-anita-asia-on-rooftop-solar-pv-at-myanmar-garment-factory.html",,
31,Ann,Wind,Planned,120.0,,China,China Three Gorges (China),,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.76718,94.00079,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html,,
32,Ann,Wind,Planned,240.0,,China,China Three Gorges (China),,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.76718,94.00079,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html,,
33,Annchaung,Hydro,Cancelled,10.0,,Myanmar,MOEP,,,,,Myanmar,Rakhine,Kyaunkpyu,An Chaung,19.61413,93.9995,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES,,
34,ANZ bank project,Solar,Operational,0.09,2016,Laos,Sunlabob Renewable Energy (Laos),,,,,Laos,Vientiane [prefecture],Sisattanak,Mekong Mainstream - Lower,17.97611,102.6328,"Actual location unknown, currently sited at locality in link/announcement",,Online,"http://sunlabob.com/news-2016/sunlabob-completes-lao-pdrs-first-ever-commercial-solar-project.html
 https://www.pv-magazine.com/2016/06/16/first-ever-commercial-solar-project-realized-in-laos_100025012/",The project is the first-ever commercial grid-connected solar system in Laos,
35,Auto Alliance Rooftop Solar,Solar,Under Construction,5.0,2021,Thailand,Auto Alliance,,,Thailand,WHA Utilitties and Power Plc,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,13.0066632880568,101.165971137131,,,Bangkok Post,,https://www.bangkokpost.com/business/2053139/whaup-lands-solar-contract-with-aat,03/26/2021
36,Ayun Ha,Hydro,Operational,3.0,,Vietnam,Gia Lai Electricity JSC.,,,,,Vietnam,Gia Lai,Phú Thiện,Ia Ayun-La Khe-Ea Yao,13.5809,108.2592,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ayun-ha-Hydropower,,
37,Ayuthaya Mill,Coal,Operational,36.0,2017,Thailand,Hiang Seng Fibre Container Co (Thailand),,,,,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,Chao Phraya-Ping,14.21667,100.5,,,Global Energy Monitor,http://enipedia.tudelft.nl/wiki/Ayuthaya_Mill_Powerplant,,
38,B&T Wind Farm (Trang trại điện gió B&T),Wind,Planned,352.0,,Philippines,The Ayala Group,,,,,Vietnam,Quảng Bình,Bố Trạch,Song Son,17.61,106.35,"Actual location unknown, currently sited at locality in link/announcement",,Stimson database,http://www.thestandard.com.ph/business/power-technology/269201/ayala-to-build-big-vietnam-wind-project-.html,https://baodautu.vn/nha-dau-tu-philippines-nghien-cuu-dau-tu-dien-gio-dien-mat-troi-tai-quang-binh-d83127.html,
